iter	Logloss
0	0.6694386417
1	0.6483754517
2	0.6304578196
3	0.6131997694
4	0.5959484715
5	0.5826421881
6	0.5702884936
7	0.559238871
8	0.5494941952
9	0.540104922
10	0.5301317059
11	0.5214759608
12	0.514005914
13	0.5053768413
14	0.4994688087
15	0.4931095322
16	0.4869410549
17	0.4813169738
18	0.4755251513
19	0.4711191951
20	0.4670261415
21	0.463720309
22	0.460729104
23	0.4569682476
24	0.4538623429
25	0.450001477
26	0.4464390031
27	0.4434836182
28	0.4398583373
29	0.4378221349
30	0.4346583969
31	0.4329848731
32	0.4306744298
33	0.4285630888
34	0.4266023935
35	0.4251093664
36	0.4224563754
37	0.4209398585
38	0.4196579944
39	0.4181149846
40	0.4166939304
41	0.4148402542
42	0.4137349594
43	0.4119909877
44	0.4096372046
45	0.4087350851
46	0.4072876576
47	0.4061030855
48	0.4047760533
49	0.4035159006
50	0.4021126443
51	0.4011931904
52	0.4001660488
53	0.3981377731
54	0.3971257123
55	0.3954708098
56	0.394283647
57	0.3929299031
58	0.3918500596
59	0.3906455266
60	0.3891065344
61	0.3875491838
62	0.3865732625
63	0.3858907788
64	0.3847173775
65	0.3833092543
66	0.3824408316
67	0.3812951915
68	0.38045264
69	0.3797863575
70	0.3791006712
71	0.3780408246
72	0.3772650226
73	0.3765815851
74	0.3757401262
75	0.3751866608
76	0.3741493832
77	0.373082408
78	0.3726060636
79	0.3715924103
80	0.3709842549
81	0.370283264
82	0.3694868764
83	0.3688735594
84	0.3684400632
85	0.3678328467
86	0.3669695583
87	0.366482578
88	0.3648414696
89	0.3641552427
90	0.3637337789
91	0.3633271574
92	0.3625909258
93	0.3621169542
94	0.3611735262
95	0.3608934096
96	0.3604649578
97	0.3597404053
98	0.3592404647
99	0.3589318467
100	0.3580938689
101	0.357655507
102	0.3572161243
103	0.3569364471
104	0.3565772526
105	0.3561908588
106	0.3554975155
107	0.3550460887
108	0.354582697
109	0.3541546267
110	0.3536510596
111	0.353272235
112	0.3521398868
113	0.3517911782
114	0.3513367427
115	0.3508923331
116	0.3502542141
117	0.3496645549
118	0.3493963542
119	0.3489285251
120	0.3487581496
121	0.3481563061
122	0.3475932749
123	0.3472499449
124	0.346974487
125	0.3466598358
126	0.3462372588
127	0.3459081497
128	0.3454354035
129	0.3448883488
130	0.3446384684
131	0.344153978
132	0.3438263739
133	0.3432499039
134	0.3429370217
135	0.342701915
136	0.3420757947
137	0.3416489176
138	0.3413769982
139	0.3409172806
140	0.3403694464
141	0.3399163686
142	0.3395976897
143	0.3393868514
144	0.3390642212
145	0.338779879
146	0.3384347196
147	0.3379597625
148	0.3377010184
149	0.3372384554
150	0.337056897
151	0.3366720364
152	0.336214497
153	0.3359316538
154	0.3353979369
155	0.3349821529
156	0.3346157197
157	0.3343068712
158	0.3338203417
159	0.3334754736
160	0.333046264
161	0.3327967928
162	0.3324404331
163	0.3321816891
164	0.3317664663
165	0.3314320416
166	0.3311467042
167	0.3307307317
168	0.3302930995
169	0.3297239983
170	0.3292253864
171	0.3289879357
172	0.3287143824
173	0.3283732681
174	0.3280040542
175	0.3276842536
176	0.3271306978
177	0.3269144421
178	0.3266507368
179	0.3262115859
180	0.32590305
181	0.3255789875
182	0.3251621941
183	0.324835904
184	0.3241943352
185	0.3238390227
186	0.3234753198
187	0.3231579531
188	0.3227812495
189	0.3225097605
190	0.3220127694
191	0.321573856
192	0.3209696428
193	0.3206688923
194	0.3202928115
195	0.3198292481
196	0.3196570002
197	0.3193055631
198	0.3190386237
199	0.3188163735
200	0.318498244
201	0.3181554538
202	0.317733847
203	0.3175019782
204	0.3169845777
205	0.3165471633
206	0.3163298586
207	0.3158557881
208	0.3152805636
209	0.3149936075
210	0.3145563991
211	0.3141246483
212	0.3136206266
213	0.3131667297
214	0.3127714379
215	0.3124679773
216	0.3119087682
217	0.3115902953
218	0.3112975604
219	0.3110605024
220	0.3107156859
221	0.3103791836
222	0.3100308813
223	0.3097060432
224	0.3092684826
225	0.30880783
226	0.3084918505
227	0.3080366415
228	0.3075111769
229	0.3072189557
230	0.3067835136
231	0.306247626
232	0.3057108853
233	0.3054001682
234	0.3051094914
235	0.3046668091
236	0.3041579979
237	0.3039249972
238	0.3036051053
239	0.3031563321
240	0.3029741539
241	0.302656045
242	0.3024083085
243	0.3021518472
244	0.3014430895
245	0.3011660214
246	0.3008696382
247	0.3005378665
248	0.3002337407
249	0.2999394538
250	0.2996481571
251	0.2993600286
252	0.2989442494
253	0.2986760045
254	0.2982647215
255	0.2979285234
256	0.2974205913
257	0.2972374138
258	0.2970405558
259	0.2968021849
260	0.2962533271
261	0.2959429591
262	0.2956227459
263	0.2954150358
264	0.2951127741
265	0.2947651026
266	0.2945435779
267	0.2943412334
268	0.2941091703
269	0.2937957391
270	0.2935057222
271	0.2932163385
272	0.2927603521
273	0.2925030771
274	0.2921715011
275	0.2918970135
276	0.2916214338
277	0.2913025681
278	0.2911081036
279	0.290934867
280	0.2906528352
281	0.2904502192
282	0.2902848064
283	0.2900998883
284	0.2897648293
285	0.2895857758
286	0.2893297566
287	0.2890574929
288	0.2888845522
289	0.2886288851
290	0.2883930678
291	0.2880378697
292	0.2878827571
293	0.2875786069
294	0.2872996767
295	0.287058893
296	0.2869021233
297	0.2865782597
298	0.2862685921
299	0.2860142183
